"Title","imdb.id","date","movie","rank","rating","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","DVD","BoxOffice","Production","Website","Response","short.title","freq","weeks.past"
"2 Guns","tt1272878",2013-12-15,"The Wolverine",10,6.9,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-10-20,"2 Guns",8,7,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-12-08,"The Wolverine",10,6.9,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-11-10,"The Wolverine",1,6.9,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-10-13,"2 Guns",8,7,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-11-24,"The Wolverine",5,6.9,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-10-06,"2 Guns",7,7,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-12-01,"The Wolverine",9,6.9,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-11-17,"The Wolverine",4,6.9,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"2 Guns","tt1272878",2013-10-27,"2 Guns",10,7,"2013","R",2013-08-02,109,"Action, Comedy, Crime","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish","USA","2 wins.","http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg",55,6.8,111502,"movie",64,"fresh",6,173,110,63,"Formulaic and often jarringly violent, 2 Guns rests its old-school appeal on the interplay between its charismatic, well-matched stars.",67,3.7,106946,2013-11-19,75600000,"Universal Pictures","http://www.2guns.net/","True","2 Guns","10",4
"21 & Over","tt1711425",2013-05-05,"21 and Over",5,5.7,"2013","R",2013-03-01,93,"Comedy","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","English","USA","1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_SX300.jpg",34,5.8,45001,"movie",28,"rotten",4.1,98,27,71,"Though it strives to mimic The Hangover, 21 and Over is too predictable, too unabashedly profane, and too inconsistently funny to carry the torch.",48,3.2,57780,2013-06-18,25700000,"Relativity Media","http://21andovermovie.tumblr.com/","True","21 & Over","4",0
"21 & Over","tt1711425",2013-04-28,"21 and Over",4,5.7,"2013","R",2013-03-01,93,"Comedy","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","English","USA","1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_SX300.jpg",34,5.8,45001,"movie",28,"rotten",4.1,98,27,71,"Though it strives to mimic The Hangover, 21 and Over is too predictable, too unabashedly profane, and too inconsistently funny to carry the torch.",48,3.2,57780,2013-06-18,25700000,"Relativity Media","http://21andovermovie.tumblr.com/","True","21 & Over","4",0
"21 & Over","tt1711425",2013-05-12,"21 and Over",10,5.7,"2013","R",2013-03-01,93,"Comedy","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","English","USA","1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_SX300.jpg",34,5.8,45001,"movie",28,"rotten",4.1,98,27,71,"Though it strives to mimic The Hangover, 21 and Over is too predictable, too unabashedly profane, and too inconsistently funny to carry the torch.",48,3.2,57780,2013-06-18,25700000,"Relativity Media","http://21andovermovie.tumblr.com/","True","21 & Over","4",0
"21 & Over","tt1711425",2013-06-09,"21 and Over",5,5.7,"2013","R",2013-03-01,93,"Comedy","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","English","USA","1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_SX300.jpg",34,5.8,45001,"movie",28,"rotten",4.1,98,27,71,"Though it strives to mimic The Hangover, 21 and Over is too predictable, too unabashedly profane, and too inconsistently funny to carry the torch.",48,3.2,57780,2013-06-18,25700000,"Relativity Media","http://21andovermovie.tumblr.com/","True","21 & Over","4",0
"22 Jump Street","tt2294449",2014-08-24,"22 Jump Street",7,7.8,"2014","R",2014-06-13,112,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","English","USA","1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg",71,7.8,50551,"movie",84,"certified",6.9,191,161,30,"Boasting even more of the bromantic chemistry between its stars -- and even more of the goofy, good-natured humor that made its predecessor so much fun -- 22 Jump Street is the rare sequel that improves upon the original.",84,4.1,130916,NA,188500000,"Sony Pictures","http://www.22jumpstreetmovie.com/site/","True","22 Jump Street","2",NA
"22 Jump Street","tt2294449",2014-08-10,"22 Jump Street",4,7.8,"2014","R",2014-06-13,112,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","English","USA","1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg",71,7.8,50551,"movie",84,"certified",6.9,191,161,30,"Boasting even more of the bromantic chemistry between its stars -- and even more of the goofy, good-natured humor that made its predecessor so much fun -- 22 Jump Street is the rare sequel that improves upon the original.",84,4.1,130916,NA,188500000,"Sony Pictures","http://www.22jumpstreetmovie.com/site/","True","22 Jump Street","2",NA
"22 Jump Street","tt2294449",2014-08-31,"22 Jump Street",8,7.8,"2014","R",2014-06-13,112,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","English","USA","1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg",71,7.8,50551,"movie",84,"certified",6.9,191,161,30,"Boasting even more of the bromantic chemistry between its stars -- and even more of the goofy, good-natured humor that made its predecessor so much fun -- 22 Jump Street is the rare sequel that improves upon the original.",84,4.1,130916,NA,188500000,"Sony Pictures","http://www.22jumpstreetmovie.com/site/","True","22 Jump Street","2",NA
"22 Jump Street","tt2294449",2014-08-17,"22 Jump Street",5,7.8,"2014","R",2014-06-13,112,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","English","USA","1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg",71,7.8,50551,"movie",84,"certified",6.9,191,161,30,"Boasting even more of the bromantic chemistry between its stars -- and even more of the goofy, good-natured humor that made its predecessor so much fun -- 22 Jump Street is the rare sequel that improves upon the original.",84,4.1,130916,NA,188500000,"Sony Pictures","http://www.22jumpstreetmovie.com/site/","True","22 Jump Street","2",NA
"22 Jump Street","tt2294449",2014-08-03,"22 Jump Street",7,7.8,"2014","R",2014-06-13,112,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","English","USA","1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg",71,7.8,50551,"movie",84,"certified",6.9,191,161,30,"Boasting even more of the bromantic chemistry between its stars -- and even more of the goofy, good-natured humor that made its predecessor so much fun -- 22 Jump Street is the rare sequel that improves upon the original.",84,4.1,130916,NA,188500000,"Sony Pictures","http://www.22jumpstreetmovie.com/site/","True","22 Jump Street","2",NA
"3 Days to Kill","tt2172934",2014-05-25,"3 Days To kill",1,6.2,"2014","PG-13",2014-02-21,117,"Action, Drama, Thriller","McG","Adi Hasak (screenplay), Luc Besson (screenplay), Luc Besson (story)","Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen","A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.","English, French, German","USA, France, Greece, Russia","N/A","http://ia.media-imdb.com/images/M/MV5BMzM0MjE0Nzg1N15BMl5BanBnXkFtZTgwODA4ODE4MDE@._V1_SX300.jpg",40,6.2,33487,"movie",29,"rotten",4.4,107,31,76,"3 Days to Kill uneasily mixes technically accomplished action sequences with an underdeveloped family conflict.",45,3.2,33747,2014-05-20,30700000,"Relativity Media","http://3daystokill.tumblr.com/","True","3 Days to Kill","5",3
"3 Days to Kill","tt2172934",2014-06-08,"3 Days To kill",9,6.2,"2014","PG-13",2014-02-21,117,"Action, Drama, Thriller","McG","Adi Hasak (screenplay), Luc Besson (screenplay), Luc Besson (story)","Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen","A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.","English, French, German","USA, France, Greece, Russia","N/A","http://ia.media-imdb.com/images/M/MV5BMzM0MjE0Nzg1N15BMl5BanBnXkFtZTgwODA4ODE4MDE@._V1_SX300.jpg",40,6.2,33487,"movie",29,"rotten",4.4,107,31,76,"3 Days to Kill uneasily mixes technically accomplished action sequences with an underdeveloped family conflict.",45,3.2,33747,2014-05-20,30700000,"Relativity Media","http://3daystokill.tumblr.com/","True","3 Days to Kill","5",3
